year,master_chronology,sample,Aligned_0
1630,2.23587,,
1631,1.1323287,,
1632,-0.8415643,,
1633,-0.1301236,,
1634,1.24776282,,
1635,1.63860609,,
1636,0.22273852,,
1637,1.20313793,,
1638,2.05555405,,
1639,1.19577228,,
1640,1.71585688,,
1641,1.38641971,,
1642,1.50930674,,
1643,-0.3677832,,
1644,-0.4530772,,
1645,0.77190557,,
1646,1.41359236,,
1647,0.82058583,,
1648,0.18024889,,
1649,0.71531963,,
1650,1.97808409,,
1651,0.93571388,,
1652,0.44554116,,
1653,0.87716152,,
1654,1.3612325,,
1655,2.33915227,,
1656,0.5664616,,
1657,1.53362851,,
1658,0.54078067,,
1659,0.30855114,,
1660,2.04439531,,
1661,1.47138373,,
1662,1.47504944,,
1663,1.69170111,,
1664,0.90084112,,
1665,1.26790521,,
1666,-0.0140716,,
1667,0.91019318,,
1668,-0.4008492,,
1669,-1.4535461,,
1670,-0.2942119,,
1671,-0.2668374,,
1672,-0.0888266,,
1673,2.09295208,,
1674,3.39892803,,
1675,1.91256258,,
1676,0.27812519,,
1677,1.6785953,,
1678,0.0741055,,
1679,1.25453014,,
1680,2.25950532,,
1681,1.61886373,,
1682,1.33494407,,
1683,1.12479603,,
1684,1.07830263,,
1685,-1.1503202,,
1686,-0.0558032,,
1687,0.00987529,,
1688,0.29864301,,
1689,1.15769822,,
1690,1.80860472,,
1691,0.80120303,,
1692,1.33828881,,
1693,1.15823864,,
1694,1.15147902,,
1695,2.43893084,,
1696,0.05858434,,
1697,1.26313057,,
1698,1.20391016,,
1699,0.76316797,,
1700,0.29496505,,
1701,1.77769138,,
1702,1.61365819,,
1703,1.26955564,,
1704,0.31408552,,
1705,0.13545723,,
1706,-0.0894982,,
1707,-0.2386402,,
1708,0.50251261,,
1709,-0.3771488,,
1710,1.04464433,,
1711,1.3172458,,
1712,1.63536575,,
1713,1.0602258,,
1714,2.33953551,,
1715,1.3384267,,
1716,-0.0942701,,
1717,1.35793719,,
1718,1.63871131,,
1719,0.65839173,,
1720,0.6378242,,
1721,0.62562863,,
1722,1.01135455,,
1723,1.72364085,,
1724,0.53793772,,
1725,0.31992226,,
1726,2.91589959,,
1727,1.29817006,,
1728,1.06006857,,
1729,0.54001671,,
1730,0.17645101,,
1731,0.71516262,,
1732,1.38143579,,
1733,-1.0732052,,
1734,0.64256171,,
1735,0.6597507,,
1736,1.77399482,,
1737,2.32922038,,
1738,0.90477069,,
1739,0.77738365,,
1740,0.39373092,,
1741,0.93507601,,
1742,0.21664662,,
1743,1.27172735,,
1744,0.69630045,,
1745,1.4033727,,
1746,2.91072614,,
1747,2.82551941,,
1748,-0.2913927,,
1749,1.94312509,,
1750,1.3649387,,
1751,0.07548293,,
1752,-0.3981585,,
1753,-1.2497965,,
1754,0.53868401,,
1755,0.63302323,,
1756,0.59389998,,
1757,0.61136053,,
1758,1.75372833,,
1759,1.58500661,,
1760,1.33343949,,
1761,0.3282377,,
1762,1.47549165,,
1763,0.17598105,,
1764,2.19440183,,
1765,1.22927845,,
1766,1.99712591,,
1767,0.28172758,,
1768,0.29281475,,
1769,1.44769352,,
1770,1.31413762,,
1771,2.15563475,,
1772,1.18180302,,
1773,0.2700159,,
1774,0.42540785,,
1775,0.89859812,,
1776,0.38564627,,
1777,0.5418442,,
1778,0.61058642,,
1779,1.50744405,,
1780,1.4885024,,
1781,0.41062662,,
1782,-0.291773,,
1783,1.38177596,,
1784,2.12745041,,
1785,2.01290169,,
1786,0.9113422,,
1787,0.62391176,,
1788,0.41129349,,
1789,0.78787343,,
1790,-1.0655554,,
1791,1.15800789,,
1792,1.09982389,,
1793,1.94278553,,
1794,0.10950475,,
1795,1.55318123,,
1796,0.95282945,,
1797,0.78039118,,
1798,0.52573437,,
1799,1.453157,,
1800,1.56390075,,
1801,0.88383368,,
1802,1.68882975,,
1803,0.60254853,,
1804,2.04463417,,
1805,0.90436038,,
1806,-0.3294019,,
1807,0.49244664,,
1808,-0.0064888,,
1809,1.33270282,,
1810,1.77969428,,
1811,1.5396454,,
1812,0.9735593,,
1813,0.79244063,,
1814,0.2738758,,
1815,2.15850908,,
1816,2.28206189,,
1817,1.38293722,,
1818,1.0880557,,
1819,0.20795981,,
1820,-0.2748426,,
1821,1.02086512,,
1822,0.32979055,,
1823,0.54313582,,
1824,1.48662413,,
1825,1.0567311,,
1826,0.59467851,,
1827,1.09949739,,
1828,1.06684364,,
1829,0.325766,,
1830,0.95347361,,
1831,1.35044297,,
1832,1.19365486,,
1833,1.93025973,,
1834,0.80209846,,
1835,1.37932635,,
1836,0.22155837,,
1837,1.77152905,1.063873865,1.063873865
1838,1.08235686,0.831845026,0.831845026
1839,2.08999633,2.06411731,2.06411731
1840,1.07440516,1.391059707,1.391059707
1841,-0.430468,0.10799732,0.10799732
1842,-0.1102514,0.06685409,0.06685409
1843,0.06852848,0.81629014,0.81629014
1844,1.01821553,1.790212979,1.790212979
1845,1.31392067,1.93948095,1.93948095
1846,1.61855335,1.372499374,1.372499374
1847,-0.6791819,-0.561283304,-0.561283304
1848,0.5894996,-0.523838093,-0.523838093
